,"OI","CHNG IN OI","VOLUME","IV","LTP","CHNG","BID QTY","BID","ASK","ASK QTY","STRIKE","BID QTY","BID","ASK","ASK QTY","CHNG","LTP","IV","VOLUME","CHNG IN OI","OI",
,-,-,-,-,-,-,150,"1,894.95","2,149.65","1,725","22,600.00",-,-,0.05,"40,350",-0.55,0.05,48.08,"96,995","-19,836","23,283",
,-,-,-,-,-,-,150,"1,850.60","2,116.80",150,"22,650.00",-,-,0.05,"4,050",-0.55,0.05,46.92,"21,090","-1,235","1,690",
,-,-,-,-,-,-,150,"1,800.75","2,038.00",150,"22,700.00",-,-,0.10,"58,650",-0.45,0.10,48.16,"38,143","-3,631","8,125",
,-,-,-,-,-,-,150,"1,755.20","2,004.00","1,725","22,750.00",-,-,0.05,"17,100",-0.55,0.05,44.61,"10,822",-48,"1,433",
,32,-51,106,76.09,"1,832.40",-30.85,150,"1,830.55","1,893.85",75,"22,800.00",-,-,0.05,"17,700",-0.50,0.05,43.46,"1,45,647","-19,601","27,045",
,1,-,-,-,"1,700.00",-,150,"1,661.15","1,895.45",150,"22,850.00",-,-,0.05,"18,375",-0.55,0.05,42.30,"34,002","-1,034","10,072",
,1,-,-,-,"1,693.30",-,150,"1,573.25","1,865.45","1,725","22,900.00",-,-,0.05,675,-0.60,0.05,41.15,"19,157","-1,208","3,465",
,217,217,227,72.73,"1,684.25",0.30,375,"1,680.35","1,683.85",225,"22,950.00",-,-,0.05,"3,750",-0.65,0.05,40.00,"14,163",-127,"1,764",
,96,-99,209,68.03,"1,631.85",-4.85,150,"1,630.60","1,633.25",150,"23,000.00",-,-,0.05,525,-0.70,0.05,38.85,"2,06,966","-17,981","41,658",
,4,-2,4,63.74,"1,580.00",161.15,150,"1,578.35","1,625.80",225,"23,050.00",-,-,0.05,"2,700",-0.70,0.05,37.69,"29,608","1,921","4,176",
,14,-19,48,70.67,"1,538.00",118.15,300,"1,441.35","1,533.60",225,"23,100.00",-,-,0.05,"7,125",-0.75,0.05,36.54,"62,028","-6,049","11,553",
,2,-8,10,-,"1,470.00",226.00,150,"1,478.55","1,514.85",225,"23,150.00",-,-,0.05,"4,425",-0.75,0.05,35.39,"34,236","2,049","4,953",
,6,-2,17,-,"1,418.40",-11.80,75,"1,430.65","1,433.90",150,"23,200.00",-,-,0.05,"10,575",-0.80,0.05,34.24,"92,473","-2,792","14,638",
,6,3,3,-,"1,280.00",-138.70,150,"1,280.05","1,481.55",150,"23,250.00",-,-,0.05,"2,400",-0.85,0.05,33.09,"37,835",79,"4,254",
,33,-7,29,53.63,"1,329.15",-12.10,150,"1,330.70","1,332.85",225,"23,300.00",-,-,0.05,"1,09,125",-0.85,0.05,31.94,"2,87,142","24,560","53,203",
,7,-,-,-,"1,166.50",5.35,150,"1,180.10","1,400.15","1,725","23,350.00",-,-,0.05,"7,725",-0.90,0.05,30.78,"71,128",-781,"7,097",
,46,3,65,53.82,"1,232.40",-35.75,150,"1,230.65","1,232.75",225,"23,400.00",-,-,0.05,"6,450",-0.95,0.05,29.63,"2,06,398","1,873","28,241",
,7,-6,24,46.18,"1,177.65",-12.55,150,"1,165.25","1,183.15",225,"23,450.00",-,-,0.05,"5,175",-1.00,0.05,28.48,"73,862",994,"6,681",
,272,-291,573,48.09,"1,130.50",-11.85,150,"1,130.75","1,132.65",225,"23,500.00",-,-,0.05,"18,675",-1.05,0.05,27.32,"4,97,868","-20,731","63,255",
,31,-6,48,66.08,"1,111.85",83.85,75,"1,075.65","1,082.50",225,"23,550.00",-,-,0.05,"96,450",-1.10,0.05,26.17,"1,25,910",46,"8,091",
,75,-3,75,44.19,"1,030.30",-10.75,150,"1,030.75","1,032.55",225,"23,600.00",-,-,0.05,"2,89,275",-1.10,0.05,25.02,"3,44,162","-10,950","44,840",
,30,-5,90,59.04,"1,006.60",19.55,150,979.65,982.50,225,"23,650.00",-,-,0.05,"2,87,700",-1.20,0.05,23.86,"2,49,133","12,033","31,686",
,113,-41,136,41.42,931.25,-9.55,75,930.65,932.45,225,"23,700.00",-,-,0.05,"53,925",-1.25,0.05,22.70,"4,34,596","11,603","63,358",
,73,-21,114,41.00,882.95,-8.65,300,880.40,882.40,225,"23,750.00",-,-,0.05,"43,275",-1.35,0.05,21.54,"2,00,394","7,173","23,903",
,282,-185,382,38.53,832.30,-10.10,150,830.80,832.35,75,"23,800.00",-,-,0.05,"84,825",-1.40,0.05,20.38,"7,35,419","21,320","1,15,699",
,69,-23,79,37.44,783.40,-8.80,75,780.80,782.30,225,"23,850.00",-,-,0.05,"42,600",-1.55,0.05,19.22,"3,75,787","-1,414","21,871",
,271,-117,418,33.44,730.80,-12.05,150,730.80,732.25,225,"23,900.00",-,-,0.05,"33,975",-1.75,0.05,18.05,"8,12,826","-9,713","67,329",
,116,-54,241,31.45,680.70,-11.95,150,681.25,682.20,225,"23,950.00",-,-,0.05,"1,77,600",-1.90,0.05,16.88,"4,68,395","-3,474","25,557",
,"2,061",-937,"6,748",29.28,630.40,-13.55,375,630.55,631.50,450,"24,000.00",-,-,0.05,"60,000",-2.10,0.05,15.71,"15,26,209","-61,589","1,17,366",
,130,-126,468,27.58,580.70,-12.75,75,580.80,582.15,150,"24,050.00",-,-,0.05,"65,025",-2.25,0.05,14.53,"5,67,290",-479,"33,513",
,551,-270,"1,652",26.59,532.15,-12.45,150,530.45,532.05,225,"24,100.00",-,-,0.05,"4,67,100",-2.55,0.05,13.35,"12,47,097","10,513","79,963",
,282,-107,819,24.44,481.95,-11.05,150,481.25,481.85,375,"24,150.00",-,-,0.05,"21,675",-2.95,0.05,12.17,"12,92,163","20,842","54,003",
,"1,297","-1,146","7,959",21.56,430.60,-15.35,150,430.80,431.40,75,"24,200.00",-,-,0.05,"66,600",-3.50,0.05,10.97,"17,48,730","-4,387","85,066",
,610,-160,"3,237",19.68,380.85,-14.55,75,381.05,381.85,75,"24,250.00",-,-,0.05,"3,87,975",-4.25,0.05,9.77,"10,83,341",-263,"52,902",
,"4,959","-2,253","43,525",17.43,330.55,-17.50,75,330.60,331.00,150,"24,300.00",-,-,0.05,"93,450",-5.25,0.05,8.56,"19,37,491","-24,443","74,337",
,"2,368","-1,256","26,997",15.77,281.45,-16.90,450,280.85,281.45,375,"24,350.00",-,-,0.05,"3,73,125",-6.75,0.05,7.34,"21,23,541","-4,700","73,071",
,"8,833","-6,487","2,28,311",13.30,230.50,-21.25,75,230.75,231.35,975,"24,400.00",-,-,0.05,"7,79,100",-9.05,0.05,6.10,"39,63,265","-55,769","1,01,129",
,"6,564","-7,602","2,91,973",11.10,181.45,-23.60,675,180.85,181.45,"1,950","24,450.00",-,-,0.05,"4,58,475",-12.20,0.05,4.85,"56,47,403","-20,730","84,816",
,"26,828","-29,465","18,69,269",8.75,131.05,-29.80,"1,425",131.05,131.20,"3,300","24,500.00",-,-,0.05,"4,50,675",-17.95,0.05,3.56,"1,06,16,315","-67,683","1,20,459",
,"21,636","-5,184","32,20,213",6.21,81.30,-38.15,"1,800",81.10,81.25,"1,875","24,550.00",-,-,0.05,"8,72,175",-26.70,0.05,2.24,"1,34,66,648","-7,020","1,14,388",
,"1,15,046","-7,623","1,48,75,878",3.33,31.20,-52.35,"43,275",31.20,31.30,"43,950","24,600.00",-,-,0.05,"9,18,150",-40.35,0.05,0.82,"3,19,93,032","1,20,367","3,24,561",
,"3,88,520","2,92,138","3,39,80,642",0.92,0.05,-55.55,-,-,0.05,"49,92,975","24,650.00","54,975",18.65,18.75,"11,025",-42.90,18.65,-,"2,59,26,576","70,902","1,39,804",
,"2,54,249","84,082","2,39,47,557",2.32,0.05,-34.85,-,-,0.05,"26,27,775","24,700.00","7,200",68.40,68.70,"10,050",-22.40,68.70,-,"80,83,167","-9,104","53,732",
,"1,12,542","27,137","1,11,72,449",3.63,0.05,-21.45,-,-,0.05,"97,350","24,750.00",150,118.30,118.70,75,-8.60,118.75,-,"17,56,152","-2,572","10,390",
,"1,18,274","-11,138","76,71,893",4.90,0.05,-12.70,-,-,0.05,"1,87,725","24,800.00",375,168.25,168.70,150,0.25,168.15,-,"11,06,257","-5,963","8,012",
,"74,263","-5,454","37,76,084",6.13,0.05,-7.50,-,-,0.05,"1,55,625","24,850.00",900,218.20,218.95,525,4.20,218.20,-,"1,79,434",175,"1,914",
,"98,634",705,"28,22,491",7.34,0.05,-4.50,-,-,0.05,"2,11,500","24,900.00",675,268.10,268.90,150,7.45,268.00,-,"1,07,683","-3,809","1,888",
,"56,651","-5,552","13,98,219",9.10,0.10,-2.90,-,-,0.05,525,"24,950.00",975,318.30,319.10,375,7.80,318.10,-,"19,322",-953,827,
,"1,24,068","-87,344","23,83,002",9.70,0.05,-2.15,-,-,0.05,"3,77,625","25,000.00",75,368.45,368.95,75,10.55,368.45,-,"39,134","-3,740","3,990",
,"50,262","-18,883","8,06,824",10.86,0.05,-1.40,-,-,0.05,"23,700","25,050.00",825,418.25,419.45,"1,125",8.90,418.20,-,"2,946",-71,187,
,"1,05,790",141,"16,33,487",12.01,0.05,-1.10,-,-,0.05,"5,71,500","25,100.00",150,468.40,469.35,450,9.65,468.35,-,"3,594",-479,"1,101",
,"50,825","16,978","9,55,504",13.15,0.05,-0.90,-,-,0.05,"6,000","25,150.00",150,518.35,519.45,150,9.75,518.05,-,524,-87,143,
,"1,84,404","60,200","12,08,886",14.28,0.05,-0.80,"1,28,475",0.05,0.10,"1,36,875","25,200.00",75,568.40,569.55,225,9.25,568.40,-,"2,291",-791,542,
,"27,062",262,"5,10,744",15.39,0.05,-0.70,-,-,0.05,"84,150","25,250.00",150,617.45,619.35,75,9.85,617.85,-,356,-69,128,
,"57,850","-19,533","7,40,366",16.50,0.05,-0.60,-,-,0.05,"74,550","25,300.00",75,668.20,669.55,75,8.15,666.95,-,856,-315,345,
,"23,346","4,980","3,77,094",17.60,0.05,-0.55,-,-,0.05,"1,07,475","25,350.00",75,718.00,719.40,150,7.65,720.10,-,271,-60,177,
,"67,535","10,070","6,80,096",18.70,0.05,-0.55,-,-,0.05,"13,30,050","25,400.00",75,767.30,769.65,75,9.05,768.10,-,587,-305,281,
,"16,822","3,980","2,00,588",19.78,0.05,-0.55,-,-,0.05,"1,89,975","25,450.00",75,818.00,819.25,75,6.40,819.45,-,95,-23,51,
,"82,745","-5,012","6,92,879",20.87,0.05,-0.55,-,-,0.05,"2,60,400","25,500.00",75,869.00,869.95,600,14.15,869.95,-,"1,902","-1,199",427,
,"14,205","4,042","1,44,957",23.20,0.10,-0.45,-,-,0.05,225,"25,550.00",150,917.65,919.70,375,10.70,921.00,-,105,-22,28,
,"41,574","3,817","2,71,331",23.01,0.05,-0.50,-,-,0.05,"1,81,125","25,600.00",75,968.15,969.65,75,10.90,970.00,-,256,-91,133,
,"21,353","12,663","1,69,467",24.07,0.05,-0.45,-,-,0.05,"3,33,300","25,650.00",225,"1,011.10","1,093.10",675,-3.90,"1,010.60",-,34,-8,28,
,"26,963","-1,764","1,67,277",25.13,0.05,-0.45,-,-,0.05,"1,01,625","25,700.00",225,"1,067.35","1,070.05",225,11.60,"1,070.25",-,172,-95,147,
,"11,610","2,416","66,997",26.18,0.05,-0.45,-,-,0.05,"1,05,525","25,750.00",150,"1,116.50","1,119.15",75,-149.65,"1,130.80",42.19,22,-2,34,
,"32,838","7,056","2,10,501",27.22,0.05,-0.45,-,-,0.05,"1,425","25,800.00",75,"1,167.95","1,170.00",75,11.70,"1,169.00",-,77,-43,121,
,"4,989",113,"52,259",28.27,0.05,-0.40,-,-,0.05,"40,650","25,850.00",300,"1,216.40","1,277.85",150,3.90,"1,216.80",-,86,-33,32,
,"21,614","-3,593","1,56,747",29.30,0.05,-0.45,-,-,0.05,"1,44,000","25,900.00",150,"1,266.15","1,269.90",75,21.25,"1,280.75",46.76,8,-2,13,
,"6,753","2,726","40,789",30.33,0.05,-0.40,-,-,0.05,75,"25,950.00",150,"1,170.90","1,397.15","1,725",-,"1,509.90",-,-,-,17,
,"34,374","-14,580","2,66,155",31.36,0.05,-0.40,-,-,0.05,"2,85,900","26,000.00",75,"1,367.60","1,368.85",75,12.75,"1,369.00",-,281,-203,235,
,"3,410",266,"17,193",32.38,0.05,-0.40,-,-,0.05,"2,325","26,050.00",150,"1,250.50","1,504.40","1,725",-,"1,477.75",-,-,-,12,
,"10,042","-4,055","39,570",33.40,0.05,-0.35,-,-,0.05,"53,925","26,100.00",150,"1,281.40","1,537.20",150,-,"1,463.00",-,-,-,8,
,"3,101",528,"22,914",34.42,0.05,-0.40,-,-,0.05,450,"26,150.00",150,"1,341.05","1,592.15",150,-,"1,510.30",-,-,-,6,
,"9,256","-6,310","45,273",35.43,0.05,-0.35,-,-,0.05,675,"26,200.00",225,"1,485.35","1,571.15",150,45.00,"1,575.00",-,36,-14,22,
,"1,343",-645,"7,752",36.43,0.05,-0.35,-,-,0.10,"10,575","26,250.00","1,725","1,314.80","1,715.55","1,725",-,"1,669.55",-,-,-,8,
,"4,881",-235,"11,717",37.44,0.05,-0.30,-,-,0.05,"1,200","26,300.00",225,"1,501.05","1,679.90",150,24.05,"1,659.05",-,3,1,6,
,"1,596",442,"9,463",38.43,0.05,-0.30,-,-,0.05,300,"26,350.00",150,"1,528.05","1,819.05",150,-,"1,840.05",-,-,-,5,
,"2,240","-1,629","11,798",41.51,0.10,-0.25,-,-,0.05,75,"26,400.00","1,725","1,544.25","1,819.10",150,-,"1,832.10",-,-,-,4,
,"1,182",109,"5,513",40.42,0.05,-0.30,-,-,0.05,525,"26,450.00",150,"1,644.25","1,928.20",150,-,"1,856.95",-,-,-,4,
,"19,165","-17,521","1,42,330",41.41,0.05,-0.25,-,-,0.05,"1,93,050","26,500.00",375,"1,866.85","1,870.85",75,10.20,"1,871.00",-,105,-96,28,
,"1,640",-22,"6,751",42.39,0.05,-0.30,-,-,0.05,300,"26,550.00",75,"1,895.00","1,954.90",150,-34.30,"1,870.00",-,-,-,3,
,"2,171",-987,"13,453",43.37,0.05,-0.30,-,-,0.05,"16,875","26,600.00","1,725","1,721.75","2,086.10","1,725",-,"2,098.05",-,-,-,4,
,"1,450",390,"4,887",44.35,0.05,-0.30,-,-,0.05,"16,575","26,650.00",150,"1,842.00","2,137.00","1,725",1.95,"2,022.95",-,-,-,4,
,"2,382","1,025","8,310",47.67,0.10,-0.25,-,-,0.10,"7,425","26,700.00",150,"1,840.00","2,121.20",150,0.45,"2,069.50",-,-,-,4,
,"1,019",404,"5,575",46.29,0.05,-0.25,-,-,0.05,900,"26,750.00",150,"1,927.35","2,245.25","1,725",-1.20,"2,116.45",-,-,-,4,
,"3,061",307,"12,572",47.26,0.05,-0.30,-,-,0.05,"23,175","26,800.00",150,"1,986.25","2,295.05","1,725",-,"2,208.65",-,-,-,4,
,"1,012",7,"4,604",48.22,0.05,-0.25,-,-,0.05,"3,750","26,850.00",150,"2,037.90","2,254.20",150,-3.90,"2,237.55",-,-,-,4,
,"2,486","-1,009","12,513",49.19,0.05,-0.25,-,-,0.05,"3,300","26,900.00",150,"2,081.10","2,311.80",150,-,"2,308.50",-,-,-,4,
,"1,441",629,"5,992",50.14,0.05,-0.25,-,-,0.05,"1,350","26,950.00",150,"2,128.05","2,429.65",150,-15.25,"2,318.35",-,-,-,4,
,"19,309","-5,074","78,971",51.10,0.05,-0.25,-,-,0.05,"3,16,950","27,000.00",75,"2,366.60","2,370.45",75,3.45,"2,365.25",-,96,-38,77,
,"4,956","2,265","19,590",52.05,0.05,-0.25,-,-,0.05,"93,600","27,050.00",150,"2,249.95","2,521.75",150,-3.45,"2,411.90",-,-,-,3,
,"24,762","-9,150","99,801",53.00,0.05,-0.25,-,-,0.05,"2,29,725","27,100.00",75,"2,465.75","2,472.60",150,24.25,"2,458.75",-,26,-,17,
